IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
8.0,9.8,3.8,6.9,7.0,0,10.0,9.5,8.76,7.1875,7.1,0.0
9.5,10.0,7.5,8.1,10.0,0,9.5,10.0,8.13,8.4375,9.6,0.0
9.0,8.6,7.5,7.2,7.5,0,8.5,9.1,8.14,7.5,8.9,-1.0
9.5,9.5,6.3,7.5,9.5,0,9.5,9.5,7.52,6.875,6.8,0.0
10.0,8.8,6.3,7.5,8.8,0,9.0,9.7,4.39,6.875,8.8,0.0
8.5,9.3,6.3,7.5,9.8,0,8.5,9.5,6.89,7.5,9.1,0.0
9.0,7.4,7.5,7.5,8.5,0,9.0,8.6,8.76,7.5,8.9,0.0
10.0,9.0,6.3,7.5,8.8,0,9.5,9.5,6.89,7.5,7.5,-1.0
9.5,9.5,2.5,8.1,9.8,0,10.0,9.9,3.77,7.1875,6.6,0.0
8.5,10.0,7.5,7.5,8.5,0,9.0,9.8,7.52,7.5,8.7,0.0
9.0,10.0,6.9,7.5,8.5,0,9.0,10.0,7.52,7.5,8.8,0.0
8.0,6.9,2.5,6.6,7.5,0,0.0,9.0,3.77,7.5,8.8,0.0
9.0,5.7,2.5,5.0,7.8,0,9.0,9.6,4.39,5.625,8.3,0.0
8.5,3.2,2.5,4.7,5.5,0,0.0,7.6,3.14,5.9375,6.3,0.0
8.5,7.9,2.5,6.9,5.3,0,9.0,9.7,3.77,7.5,8.2,0.0
9.5,8.4,2.5,7.2,6.5,0,0.0,9.4,2.52,6.25,6.3,0.0
9.5,10.0,8.1,7.5,8.8,0,8.5,9.4,7.52,7.5,8.1,0.0
9.5,8.8,7.5,7.5,6.0,0,9.0,9.3,7.52,7.8125,6.4,0.0
9.0,9.8,2.5,7.8,9.3,0,10.0,10.0,5.63,7.5,9.3,-1.0
7.5,7.7,7.5,7.5,7.3,0,9.5,9.0,7.52,8.125,8.4,-1.0
9.0,9.5,7.5,8.1,7.3,0,7.0,9.4,7.52,5.625,6.3,-1.0
7.9,8.7,2.5,5.9,2.8,0,10.0,8.7,2.52,5.625,7.7,0.0
9.5,7.7,7.5,7.2,8.3,0,9.0,6.3,7.52,5.625,6.1,0.0
8.5,8.7,7.5,7.5,6.0,0,9.0,9.7,7.52,5.625,6.3,0.0
7.0,2.8,2.5,6.9,6.0,0,0.0,8.1,7.52,6.5625,6.5,-1.0
8.5,8.1,7.5,7.2,4.8,0,9.0,9.0,7.52,8.125,7.9,0.0
8.5,7.3,2.5,6.6,2.8,0,9.5,9.7,2.52,6.25,6.6,-1.0
7.0,4.6,7.5,7.2,7.0,0,9.0,5.6,7.52,5.625,5.0,0.0
8.0,7.0,7.5,7.2,4.8,0,9.0,8.9,7.52,5.625,5.4,0.0
7.0,6.5,7.5,7.2,7.0,0,9.0,8.6,7.52,5.9375,8.4,0.0
