RA,Fase_2024,INDE_2024,Pedra_2024,Turma_2024,Idade_2024,Genero_2024,Ano_Ingresso_2024,Instituicao_Ensino_2024,IAA_2024,IEG_2024,IPS_2024,IPP_2024,IDA_2024,Mat_2024,Por_2024,Ing_2024,IPV_2024,IAN_2024,Fase_Ideal_2024,Defasagem_2024,Escola_2024,Fase_2023,INDE_2023,Pedra_2023,Turma_2023,Idade_2023,Genero_2023,Ano_Ingresso_2023,Instituicao_Ensino_2023,IAA_2023,IEG_2023,IPS_2023,IPP_2023,IDA_2023,Mat_2023,Por_2023,Ing_2023,IPV_2023,IAN_2023,Fase_Ideal_2023,Defasagem_2023,Fase_2022,Turma_2022,Idade_2022,Genero_2022,Ano_Ingresso_2022,Instituicao_Ensino_2022,Pedra_2022,INDE_2022,Cg_2022,Cf_2022,Ct_2022,Rec_Av1_2022,Rec_Av2_2022,IAA_2022,IEG_2022,IPS_2022,Rec_Psicologia_2022,IDA_2022,Mat_2022,Por_2022,Ing_2022,Indicado_2022,Atingiu_PV_2022,IPV_2022,IAN_2022,Fase_Ideal_2022,Defasagem_2022,Destaque_IEG_2022,Destaque_IDA_2022,Destaque_IPV_2022,IPP_2022
1275,ALFA,7.611366667,Ametista,ALFA A - G0/G1,8,Masculino,2024,Pública,10.0,8.7,6.3,5.6,8.0,10.0,6.0,0.0,5.4,10.0,ALFA (1° e 2° ano),0,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,ALFA,8.002866667,Topázio,ALFA A - G0/G1,8,Feminino,2024,Pública,10.0,9.3,3.8,7.5,8.0,10.0,6.0,0.0,7.1,10.0,ALFA (1° e 2° ano),0,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,ALFA,7.9522,Ametista,ALFA A - G0/G1,8,Masculino,2024,Pública,10.0,9.1,3.8,7.5,8.0,10.0,6.0,0.0,7.0,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,ALFA,7.156366667,Ametista,ALFA A - G0/G1,8,Masculino,2023,Pública,8.0,9.8,3.8,6.9,7.0,8.0,6.0,0.0,7.2,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,ALFA,8.63895,Topázio,ALFA A - G0/G1,7.0,Masculino,2023.0,Pública,10.0,9.5,8.76,7.1875,7.1,7.8,6.3,0.0,8.67,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,ALFA,5.4442,Quartzo,ALFA A - G0/G1,9,Masculino,2024,Pública,9.0,4.2,3.8,5.0,7.5,8.0,7.0,0.0,4.2,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,ALFA,8.0822,Topázio,ALFA B - G2/G3,9,Feminino,2024,Pública,10.0,10.0,6.3,7.5,8.3,9.0,7.5,0.0,7.8,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,ALFA,8.9597,Topázio,ALFA B - G2/G3,9,Feminino,2023,Pública,9.5,10.0,7.5,8.1,10.0,10.0,10.0,0.0,9.7,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,9.31095,Topázio,ALFA A - G0/G1,8.0,Feminino,2023.0,Pública,9.5,10.0,8.13,8.4375,9.6,9.8,9.4,0.0,8.92,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,ALFA,7.346677273,Ametista,ALFA B - G2/G3,10,Masculino,2023,Pública,9.0,8.6,7.5,7.2,7.5,10.0,5.0,0.0,6.3,5.0,Fase 2 (5° e 6° ano),-2,EE Dom Pedro Villas Boas de Souza,ALFA,8.2212,Topázio,ALFA A - G0/G1,9.0,Masculino,2023.0,Pública,8.5,9.1,8.14,7.5,8.9,8.5,9.2,0.0,8.585,5.0,Fase 1 (3° e 4° ano),-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,ALFA,8.152624243,Topázio,ALFA B - G2/G3,9,Masculino,2024,Pública,10.0,9.5,6.3,7.5,8.5,10.0,7.0,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,ALFA,7.982890909,Ametista,ALFA B - G2/G3,9,Feminino,2024,Pública,7.9,9.5,6.3,7.5,9.3,10.0,8.5,0.0,7.8,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,ALFA,8.257957576,Topázio,ALFA B - G2/G3,9,Feminino,2023,Pública,9.5,9.5,6.3,7.5,9.5,10.0,9.0,0.0,8.1,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.5397,Topázio,ALFA D - G2/G3,8.0,Feminino,2023.0,Pública,9.5,9.5,7.52,6.875,6.8,6.8,6.7,0.0,9.5,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,ALFA,8.03450303,Topázio,ALFA B - G2/G3,8,Feminino,2023,Pública,10.0,8.8,6.3,7.5,8.8,10.0,7.5,0.0,8.2,5.0,Fase 1 (3° e 4° ano),-1,EM Pedro Antonio de Almeida,ALFA,8.4587,Topázio,ALFA C - G0/G1,7.0,Feminino,2023.0,Pública,9.0,9.7,4.39,6.875,8.8,8.4,9.2,0.0,8.66,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,ALFA,7.876927273,Ametista,ALFA B - G2/G3,9,Feminino,2024,Pública,9.5,8.1,6.3,7.5,9.3,10.0,8.5,0.0,7.9,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,ALFA,8.191290909,Topázio,ALFA B - G2/G3,9,Masculino,2023,Pública,8.5,9.3,6.3,7.5,9.8,10.0,9.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,ALFA,8.8092,Topázio,ALFA C - G0/G1,8.0,Masculino,2023.0,Pública,8.5,9.5,6.89,7.5,9.1,8.7,9.5,0.0,9.0,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,ALFA,7.583018182,Ametista,ALFA B - G2/G3,9,Masculino,2023,Pública,9.0,7.4,7.5,7.5,8.5,10.0,7.0,0.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.6992,Topázio,ALFA A - G0/G1,8.0,Masculino,2023.0,Pública,9.0,8.6,8.76,7.5,8.9,8.7,9.0,0.0,8.415,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
